item,question,subscale,scalar
parrq1,My child and I play games together.,involvement,2
parrq2,I am confident in my parenting ability.,parenting_confidence,2
parrqp3,I know what my child is thinking.,attachment,2
parrqp4,I lose my patience with my child.,relational_frustration,1
parrqp5,I know what to say to calm down my child.,attachment,2
parrqp6,My child and I go on outings together.,involvement,2
parrqp7,Our family eats together at the dinner table.,,
parrqp8,I am proud of my relationship with my child.,parenting_confidence,2
parrqp9,I set limits with my child for acceptable behavior.,discipline_practices,2
parrqp10,I know when my child wants to be left alone.,attachment,2
parrqp11,I make a lot of mistakes when dealing with my child.,relational_frustration,1
parrqp12,I know when my child will become upset.,attachment,2
parrqp13,I punish my child when he/she misbehaves.,discipline_practices,2
parrqp14,I make good parenting decisions.,parenting_confidence,2
parrqp15,It's hard being a parent.,relational_frustration,1
parrqp16,I feel close to my child emotionally.,attachment,2
parrqp17,I read to my child.,,
parrqp18,I am in control of my household.,parenting_confidence,2
parrqp19,My child is hard for me to handle.,relational_frustration,1
parrqp20,My child and I plan things to do together.,involvement,2
parrqp21,"When upset, my child comes to me for comfort.",attachment,2
parrqp22,My child tests my limits.,relational_frustration,1
parrqp23,It is important for a child to follow family rules.,discipline_practices,2
parrqp24,I am scared of making mistakes in decisions about my child.,parenting_confidence,2
parrqp25,I know how my child will react in most situations.,attachment,2
parrqp26,My child and I do things together outdoors.,involvement,2
parrqp27,My child makes me angry.,relational_frustration,1
parrqp28,I know what my child is feeling.,attachment,2
parrqp29,I punish my child so he/she learns the proper respect for others.,discipline_practices,2
parrqp30,The responsibility of being a parent seems like too much for me.,parenting_confidence,2
parrqp31,I overreact when my child misbehaves.,relational_frustration,1
parrqp32,My child and I work on projects together.,involvement,2
parrqp33,Children should do what parents tell them to do.,discipline_practices,2
parrqp34,I enjoy spending time with my child.,attachment,2
parrqp35,I regret how I treat my child.,relational_frustration,1
parrqp36,My child and I take walks together.,involvement,2
parrqp37,"When my child is upset, I can calm him/her.",attachment,2
parrqp38,I feel overwhelmed being a parent.,relational_frustration,1
parrqp39,I feel close to my child.,attachment,2
parrqp40,I punish my child if he/she shows disrespect to an adult.,discipline_practices,2
parrqp41,I teach my child how to play new games.,involvement,2
parrqp42,My child does not listen to me.,relational_frustration,1
parrqp43,I can sense my child's moods.,attachment,2
parrqp44,I am a good parent to my child.,parenting_confidence,2
parrqp45,I spend my free time helping my child do things.,involvement,2
parrqp46,I am able to make my child smile.,attachment,2
parrqp47,I am good at balancing my parenting role with my other responsibilities.,parenting_confidence,2
parrqp48,My child frustrates me.,relational_frustration,1
parrqp49,Being a parent scares me.,parenting_confidence,2
parrqp50,I react the wrong way to my child's behavior.,relational_frustration,1
parrqp51,My child knows the house rules.,parenting_confidence,2
parrqp52,"During the last year, my child has been difficult to take care of.",relational_frustration,1
parrqp53,My child enjoys spending time with me.,attachment,2
parrqp54,I insist that my child follow the rules of the house.,discipline_practices,2
parrqp55,I teach my child new things.,involvement,2
parrqp56,I feel like parenting is harder than it should be.,relational_frustration,1
parrqp57,I remain calm when dealing with my child's misbehavior.,parenting_confidence,2
parrqp58,It is my responsibility as a parent to punish all my child's misbehavior.,discipline_practices,2
parrqp59,I lose my temper with  my child.,relational_frustration,1
parrqp60,I have the energy that I need to cope with my child.,parenting_confidence,2